Name,Aliases,MainRegion,SubRegion,SeaTradeRegion,MapPixelX,MapPixelY,WorldX,WorldY
"Cayenne","","Americas","Amazon / Guianas","Amazon / Guianas","3480","1163","13920","4652"
"Ceuta","","Africa","Maghreb","Western Mediterranean / North Africa","3989","842","15956","3368"
"Ceylon","","South Asia","Sri Lanka","Indian Ocean / Sri Lanka","915","1119","3660","4476"
"Changan","","East Asia","China Inland","China River / Coastal Trade","","","",""
"Chersky","","Arctic / Siberia","Russian Arctic","Arctic Sea Route","","","",""
"Chongqing","","East Asia","China Inland","China River / Coastal Trade","","","",""
"Cochin","","South Asia","West India / Malabar","Arabian Sea / West India","869","1097","3476","4388"
"Cohasset","","North America","North Atlantic Coast","North Atlantic Coast","","","",""
"Copenhagen","","Europe","Scandinavia","North Sea / Baltic","131","553","524","2212"
"Copiapo","","Americas","Chile Pacific","Pacific South America","3288","1448","13152","5792"
"Danzig","","Europe","Baltic","Baltic Sea","140","536","560","2144"
"Davao City","","Southeast Asia","Philippines","Philippine Sea / Sulu Sea","","","",""
"Dikson","","Arctic / Siberia","Russian Arctic","Arctic Sea Route","","","",""
"Dili","","Southeast Asia","Timor","Timor Sea","1451","1272","5804","5088"
"Diu","","South Asia","West India / Malabar","Arabian Sea / West India","803","988","3212","3952"
"Douala","","Africa","Gulf of Guinea","Gulf of Guinea","","","",""
"Dover","","Europe","British Isles","North Sea / English Channel","4082","621","16328","2484"
"Dublin","","Europe","British Isles","North Sea / English Channel","4009","571","16036","2284"
"Edinburgh","","Europe","British Isles","North Sea / English Channel","4051","531","16204","2124"
"Edo","","East Asia","Japan","Japan Sea / East China Sea","1639","831","6556","3324"
"El Dorado","","Americas","Northern South America Inland","Orinoco / Caribbean Trade","","","",""
"Famagusta","","Europe","Aegean / Eastern Mediterranean","Eastern Mediterranean","383","845","1532","3380"
"Faro","","Europe","Iberia Atlantic","Iberian Atlantic","3953","816","15812","3264"
"Florence","","Europe","Italian Peninsula / Islands","Central Mediterranean","109","721","436","2884"
"Frankfurt","","Europe","Central Europe Inland","North Sea / Rhine Trade","102","620","408","2480"
"Genoa","","Europe","Italian Peninsula / Islands","Central Mediterranean","74","728","296","2912"
"Gia Dinh","","Southeast Asia","Mainland Southeast Asia","Indochina / Gulf of Thailand","1222","1102","4888","4408"
"Gijon","","Europe","Iberia Atlantic","Iberian Atlantic","3960","734","15840","2936"
"Goa","","South Asia","West India / Malabar","Arabian Sea / West India","830","1027","3320","4108"
"Grand Cayman","","Americas","Caribbean","Caribbean Sea","","","",""
"Groningen","","Europe","North Sea Low Countries","North Sea / English Channel","36","615","144","2460"
"Guam","","Oceania","Pacific Islands","Pacific Islands","1650","1053","6600","4212"
"Guatemala","","Americas","Central America","Caribbean / Central America","","","",""
"Hamburg","","Europe","North Sea Low Countries","North Sea / English Channel","4054","584","16216","2336"
"Hangzhou","","East Asia","China Coast","South China Sea / East China Sea","1387","886","5548","3544"
"Hanyang","","East Asia","Korea","Korea Strait / Yellow Sea","1446","805","5784","3220"
"Havana","","Americas","Caribbean","Caribbean Sea","3244","965","12976","3860"
"Helder","","Europe","North Sea Low Countries","North Sea / English Channel","16","619","64","2476"
"Hiva Oa","","Oceania","Pacific Islands","Pacific Islands","2535","1252","10140","5008"
"Hobart","","Oceania","Australia South","Australia Coastal Trade","1761","1737","7044","6948"
"Hormuz","","Middle East","Persian Gulf / Oman","Persian Gulf / Arabian Sea","","","",""
"Istanbul","","Europe","Black Sea","Black Sea","320","762","1280","3048"
"Jaffa","","Middle East","Levant","Eastern Mediterranean","390","878","1560","3512"
"Jakarta","","Southeast Asia","Indonesia / Spice Islands","Java Sea / Spice Islands","1205","1248","4820","4992"
"Jamaica","","Americas","Caribbean","Caribbean Sea","3294","1010","13176","4040"
"Jambi","","Southeast Asia","Indonesia / Spice Islands","Java Sea / Spice Islands","1141","1190","4564","4760"
"Jeddah","","Middle East","Red Sea / Hejaz","Red Sea","","","",""
"Jofra","","Africa","Maghreb","Western Mediterranean / North Africa","274","886","1096","3544"
"Jolo","","Southeast Asia","Philippines","Philippine Sea / Sulu Sea","","","",""
"K'gari","","Oceania","Australia East","Australia Coastal Trade","1821","1561","7284","6244"
"Kaffa","","Africa","Horn of Africa / Red Sea","Red Sea / Gulf of Aden","","","",""
"Kakadu","","Oceania","Australia North","Australia Coastal Trade","1585","1426","6340","5704"
"Karibib","","Africa","Southwest Africa","South Atlantic Africa","157","1400","628","5600"
"Khatanga","","Arctic / Siberia","Russian Arctic","Arctic Sea Route","","","",""
"Kilwa","","Africa","East Africa / Swahili Coast","Western Indian Ocean","441","1272","1764","5088"
"Korf","","Arctic / Siberia","Russian Far East","Sea of Okhotsk","","","",""
"Kuching","","Southeast Asia","Malay Peninsula / Borneo","Strait of Malacca / Borneo","1263","1170","5052","4680"
"Lambayeque","","Americas","Peru / Ecuador Pacific","Pacific South America","3174","1262","12696","5048"
"Las Palmas","","Atlantic Islands","Macaronesia","Atlantic Islands","3876","919","15504","3676"
"Lima","","Americas","Peru / Ecuador Pacific","Pacific South America","3211","1316","12844","5264"
"Lisbon","","Europe","Iberia Atlantic","Iberian Atlantic","3948","800","15792","3200"
"London","","Europe","British Isles","North Sea / English Channel","4082","604","16328","2416"
"Lop Buri","","Southeast Asia","Mainland Southeast Asia","Indochina / Gulf of Thailand","1160","1060","4640","4240"
"Luanda","","Africa","Southwest Africa","South Atlantic Africa","138","1256","552","5024"
"Lubeck","","Europe","North Sea Low Countries","North Sea / English Channel","121","586","484","2344"
"Macau","","East Asia","China Coast","South China Sea / East China Sea","1296","973","5184","3892"
"Machilipatnam","","South Asia","East India / Bengal","Bay of Bengal","919","1040","3676","4160"
"Madeira","","Atlantic Islands","Macaronesia","Atlantic Islands","","","",""
"Makassar","","Southeast Asia","Indonesia / Spice Islands","Java Sea / Spice Islands","1369","1231","5476","4924"
"Malacca","","Southeast Asia","Malay Peninsula / Borneo","Strait of Malacca / Borneo","1170","1172","4680","4688"
"Malaga","","Europe","Iberia Mediterranean","Western Mediterranean","4014","817","16056","3268"
"Malindi","","Africa","East Africa / Swahili Coast","Western Indian Ocean","476","1196","1904","4784"
"Manama","","Middle East","Persian Gulf / Oman","Persian Gulf / Arabian Sea","","","",""
"Mangalore","","South Asia","West India / Malabar","Arabian Sea / West India","853","1064","3412","4256"
"Manila","","Southeast Asia","Philippines","Philippine Sea / Sulu Sea","","","",""
"Maracaibo","","Americas","Venezuela / Southern Caribbean","Southern Caribbean","","","",""
"Marseilles","","Europe","Southern France / Corsica","Western Mediterranean","24","730","96","2920"
"Massawa","","Africa","Horn of Africa / Red Sea","Red Sea / Gulf of Aden","449","1044","1796","4176"
"Mecca","","Middle East","Red Sea / Hejaz","Red Sea","","","",""
"Merida","","Americas","Mexico / Gulf Coast","Gulf of Mexico","","","",""
"Mogadishu","","Africa","East Africa / Swahili Coast","Western Indian Ocean","546","1144","2184","4576"
"Mombasa","","Africa","East Africa / Swahili Coast","Western Indian Ocean","462","1208","1848","4832"
"Montevideo","","Americas","Rio de la Plata","South Atlantic / Plata","","","",""
"Montpellier","","Europe","Southern France / Corsica","Western Mediterranean","7","751","28","3004"
"Mozambique","","Africa","East Africa / Swahili Coast","Western Indian Ocean","467","1334","1868","5336"
"Muscat","","Middle East","Persian Gulf / Oman","Persian Gulf / Arabian Sea","","","",""
"Nagasaki","","East Asia","Japan","Japan Sea / East China Sea","1517","863","6068","3452"
"Nantes","","Europe","France Atlantic","Bay of Biscay / Channel","4029","686","16116","2744"
"Naples","","Europe","Italian Peninsula / Islands","Central Mediterranean","155","776","620","3104"
"Nassau","","Americas","Caribbean","Caribbean Sea","3278","932","13112","3728"
"Natal","","Americas","Brazil Atlantic","Brazil Atlantic","371","1476","1484","5904"
"Nicosia","","Europe","Aegean / Eastern Mediterranean","Eastern Mediterranean","350","858","1400","3432"
"Odessa","","Europe","Black Sea","Black Sea","343","704","1372","2816"
"Okhotsk","","Arctic / Siberia","Russian Far East","Sea of Okhotsk","","","",""
"Oslo","","Europe","Scandinavia","North Sea / Baltic","123","487","492","1948"
"Palembang","","Southeast Asia","Indonesia / Spice Islands","Java Sea / Spice Islands","1158","1208","4632","4832"
"Palma","","Europe","Iberia Mediterranean","Western Mediterranean","4074","804","16296","3216"
"Panama","","Americas","Central America","Caribbean / Central America","3179","1062","12716","4248"
"Paris","","Europe","France Atlantic","Bay of Biscay / Channel","4032","650","16128","2600"
"Pattani","","Southeast Asia","Mainland Southeast Asia","Indochina / Gulf of Thailand","1163","1130","4652","4520"
"Pegu","","Southeast Asia","Mainland Southeast Asia","Indochina / Gulf of Thailand","1102","1033","4408","4132"
"Pernambuco","","Americas","Brazil Atlantic","Brazil Atlantic","","","",""
"Pinjarra","","Oceania","Australia West","Australia Coastal Trade","1395","1621","5580","6484"
"Pisa","","Europe","Italian Peninsula / Islands","Central Mediterranean","94","738","376","2952"
"Plymouth","","Europe","British Isles","North Sea / English Channel","4022","622","16088","2488"
"Pohang","","East Asia","Korea","Korea Strait / Yellow Sea","1477","819","5908","3276"
"Pondicherry","","South Asia","East India / Bengal","Bay of Bengal","","","",""
"Port Pirie","","Oceania","Australia South","Australia Coastal Trade","","","",""
"Port Royal","","Americas","Caribbean","Caribbean Sea","3295","1018","13180","4072"
"Porto","","Europe","Iberia Atlantic","Iberian Atlantic","3943","779","15772","3116"
"Porto Velho","","Americas","Amazon / Guianas","Amazon / Guianas","","","",""
"Portobelo","","Americas","Central America","Caribbean / Central America","","","",""
"Portsmouth","","Europe","British Isles","North Sea / English Channel","4066","619","16264","2476"
"Quanzhou","","East Asia","China Coast","South China Sea / East China Sea","1350","951","5400","3804"
"Quelimane","","Africa","East Africa / Swahili Coast","Western Indian Ocean","","","",""
"Ragusa","","Europe","Adriatic","Adriatic Sea","200","742","800","2968"
"Riga","","Europe","Baltic","Baltic Sea","268","540","1072","2160"
"Rio de Janeiro","","Americas","Brazil Atlantic","Brazil Atlantic","3614","1426","14456","5704"
"Rome","","Europe","Italian Peninsula / Islands","Central Mediterranean","136","758","544","3032"
"Run","","Southeast Asia","Indonesia / Spice Islands","Java Sea / Spice Islands","1490","1236","5960","4944"
"Saint Petersburg","","Europe","Baltic","Baltic Sea","308","489","1232","1956"
"Saint-Georges","","Americas","Amazon / Guianas","Amazon / Guianas","","","",""
"Sakai","","East Asia","Japan","Japan Sea / East China Sea","1585","850","6340","3400"
"Salonika","","Europe","Aegean / Eastern Mediterranean","Eastern Mediterranean","260","776","1040","3104"
"Samarai","","Oceania","Pacific Islands","Pacific Islands","","","",""
"San Antonio","","Americas","Chile Pacific","Pacific South America","3370","1577","13480","6308"
"San Juan","","Americas","Caribbean","Caribbean Sea","","","",""
"Santiago","","Americas","Chile Pacific","Pacific South America","3101","446","12404","1784"
"Santo Domingo","","Americas","Caribbean","Caribbean Sea","3371","1008","13484","4032"
"Sao Tome","","Africa","Gulf of Guinea","Gulf of Guinea","59","1190","236","4760"
"Sassari","","Europe","Italian Peninsula / Islands","Central Mediterranean","67","776","268","3104"
"Saylac","","Africa","Horn of Africa / Red Sea","Red Sea / Gulf of Aden","481","1078","1924","4312"
"Sevastopol","","Europe","Black Sea","Black Sea","378","715","1512","2860"
"Seville","","Europe","Iberia Atlantic","Iberian Atlantic","3976","816","15904","3264"
"Sierra Leone","","Africa","West Africa Atlantic","West Africa Atlantic","3938","1111","15752","4444"
"Socotra","","Middle East","Gulf of Aden","Arabian Sea / Gulf of Aden","619","1071","2476","4284"
"Sofala","","Africa","East Africa / Swahili Coast","Western Indian Ocean","392","1373","1568","5492"
"Stockholm","","Europe","Scandinavia","North Sea / Baltic","208","496","832","1984"
"Suez","","Middle East","Red Sea / Hejaz","Red Sea","394","918","1576","3672"
"Surabaya","","Southeast Asia","Indonesia / Spice Islands","Java Sea / Spice Islands","1302","1262","5208","5048"
"Syracuse","","Europe","Italian Peninsula / Islands","Central Mediterranean","151","810","604","3240"
"Tamatave","","Africa","East Africa / Swahili Coast","Western Indian Ocean","561","1358","2244","5432"
"Tamsui","","East Asia","Taiwan","Taiwan Strait","1426","948","5704","3792"
"Tenochtitlan","","Americas","Mexico / Gulf Coast","Gulf of Mexico","","","",""
"Ternate","","Southeast Asia","Indonesia / Spice Islands","Java Sea / Spice Islands","1445","1179","5780","4716"
"Tiksi","","Arctic / Siberia","Russian Arctic","Arctic Sea Route","","","",""
"Toamasina","","Africa","East Africa / Swahili Coast","Western Indian Ocean","","","",""
"Trabzon","","Europe","Black Sea","Black Sea","427","764","1708","3056"
"Trieste","","Europe","Adriatic","Adriatic Sea","163","702","652","2808"
"Tripoli","","Africa","Maghreb","Western Mediterranean / North Africa","123","861","492","3444"
"Trujillo","","Americas","Peru / Ecuador Pacific","Pacific South America","","","",""
"Tumbes","","Americas","Peru / Ecuador Pacific","Pacific South America","3151","1200","12604","4800"
"Tunis","","Africa","Maghreb","Western Mediterranean / North Africa","101","819","404","3276"
"Valencia","","Europe","Iberia Mediterranean","Western Mediterranean","4043","791","16172","3164"
"Valparaiso","","Americas","Chile Pacific","Pacific South America","3256","1514","13024","6056"
"Venice","","Europe","Adriatic","Adriatic Sea","133","699","532","2796"
"Veracruz","","Americas","Mexico / Gulf Coast","Gulf of Mexico","","","",""
"Visakhapatnam","","South Asia","West India / Malabar","Arabian Sea / West India","949","1015","3796","4060"
"Visby","","Europe","Scandinavia","North Sea / Baltic","212","527","848","2108"
"Whanganui","","Oceania","New Zealand","Tasman Sea / New Zealand","","","",""
"Willemstad","","Americas","Caribbean","Caribbean Sea","","","",""
"Yanbu","","Middle East","Red Sea / Hejaz","Red Sea","","","",""
"Yuldo","","East Asia","Korea","Korea Strait / Yellow Sea","","","",""
"Yuntaisha","","East Asia","China Coast","South China Sea / East China Sea","1365","838","5460","3352"
"Zadar","","Europe","Adriatic","Adriatic Sea","181","729","724","2916"
"Zanzibar","","Africa","East Africa / Swahili Coast","Western Indian Ocean","","","",""
