record_id,po_category,trade_good_type,trade_good,cooking_min,cooking_max,sewing_min,sewing_max,casting_min,casting_max,storage_min,storage_max,handicrafts_min,handicrafts_max,best_skill,best_min,best_max,best_avg,contribution_summary,uncertain,confidence,notes,source_table,source_url,google_sheet_url,app_note
FLO-WIDE-0012,PO4,Gems,Inca Rose,,,7,7,,,,,7,7,Sewing,7,7,7.0,Sewing 7-7; Handicrafts 7-7,no,low,Sewing: Text extract shows two 7/7 contributions but not exact columns | Handicrafts: Text extract shows two 7/7 contributions but not exact columns,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0013,PO4,Gems,Emerald,,,6,7,,,,,6,7,Sewing,6,7,6.5,Sewing 6-7; Handicrafts 6-7,no,low,Sewing: Text extract shows two 6-7 contributions but not exact columns | Handicrafts: Text extract shows two 6-7 contributions but not exact columns,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0014,PO4,Gems,Ruby,,,6,7,,,,,6,7,Sewing,6,7,6.5,Sewing 6-7; Handicrafts 6-7,no,low,Sewing: Text extract shows two 6-7 contributions but not exact columns | Handicrafts: Text extract shows two 6-7 contributions but not exact columns,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0015,PO4,Gems,Sapphires,,,6,7,,,,,6,7,Sewing,6,7,6.5,Sewing 6-7; Handicrafts 6-7,no,low,Sewing: Text extract shows two 6-7 contributions but not exact columns | Handicrafts: Text extract shows two 6-7 contributions but not exact columns,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0016,PO3,Fibre,Silk Thread,,,6,6,,,,,,,Sewing,6,6,6.0,Sewing 6-6,no,medium,Sewing: Fandom high-value table,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0017,PO3,Firearms,Cannons,,,,,34,34,,,,,Casting,34,34,34.0,Casting 34-34,yes,medium,Casting: Fandom high-value table marks 34?,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0018,PO3,Weapon,Damascus Swords,,,,,14,17,,,,,Casting,14,17,15.5,Casting 14-17,no,medium,Casting: Fandom high-value table,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0019,PO3,Firearms,Muskets,,,,,11,12,,,,,Casting,11,12,11.5,Casting 11-12,no,medium,Casting: Fandom high-value table,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0020,PO4,Metal,Gold,,,,,7,8,,,7,8,Casting,7,8,7.5,Casting 7-8; Handicrafts 7-8,no,medium,Casting: Metal goods; text extract shows two 7-8 contributions | Handicrafts: Metal goods; text extract shows two 7-8 contributions,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0022,PO4,Metal,Platinum,,,,,7,8,,,7,8,Casting,7,8,7.5,Casting 7-8; Handicrafts 7-8,no,medium,Casting: Metal goods; text extract shows two 7-8 contributions | Handicrafts: Metal goods; text extract shows two 7-8 contributions,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0023,PO2,Wares,Marble,,,,,3,3,,,2,2,Casting,3,3,3.0,Casting 3-3; Handicrafts 2-2,no,high,Casting: Blog example says Marble gives about 3 Casting and 2 Handicrafts normally; may be boosted when requested | Handicrafts: Blog example says Marble gives about 2 Handicrafts and 3 Casting normally,Fandom + UWOpedia blog,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0024,PO1,Medicine,Dragon Blood,,,,,,,24,24,,,Storage,24,24,24.0,Storage 24-24,yes,low,Storage: Fandom table marks Dragon Blood? 24?; skill column is unclear in text extract,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0025,PO4,Fragrances,Musk,,,,,,,10,13,,,Storage,10,13,11.5,Storage 10-13,no,low,Storage: Skill column unclear in text extract; fragrance goods kept as Storage guess,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0026,PO4,Fragrances,Ambergris,,,,,,,10,12,,,Storage,10,12,11.0,Storage 10-12,no,low,Storage: Skill column unclear in text extract; fragrance goods kept as Storage guess,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0027,PO4,Fragrances,Civet musk,,,,,,,10,12,,,Storage,10,12,11.0,Storage 10-12,no,low,Storage: Skill column unclear in text extract; fragrance goods kept as Storage guess,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0028,PO4,Fragrances,Jasmine,,,,,,,9,10,,,Storage,9,10,9.5,Storage 9-10,no,low,Storage: Skill column unclear in text extract; fragrance goods kept as Storage guess,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0029,PO1,Medicine,Rhinoceros Horn,,,,,,,7,10,,,Storage,7,10,8.5,Storage 7-10,no,low,Storage: Skill column is unclear in text extract; medicine goods likely Storage-oriented,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0002,PO1,Foods,Sunfish,7,7,,,,,8,8,,,Storage,8,8,8.0,Cooking 7-7; Storage 8-8,no,medium,"Cooking: One kind of fish; table also lists another 8/8 contribution, likely Storage | Storage: One kind of fish; inferred from fish goods commonly giving Storage too",Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0030,PO4,Fragrances,Aloeswood,,,,,,,8,8,,,Storage,8,8,8.0,Storage 8-8,no,low,Storage: Skill column unclear in text extract; fragrance goods kept as Storage guess,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0031,PO3,Arts,Antique Art,,,,,,,,,35,35,Handicrafts,35,35,35.0,Handicrafts 35-35,yes,low,Handicrafts: Fandom high-value table marks 35?; exact skill column unclear in text extract,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0032,PO3,Crafts,Tumbaga,,,,,,,,,26,26,Handicrafts,26,26,26.0,Handicrafts 26-26,yes,low,Handicrafts: Fandom table marks 26? / 26?; Google visible sheet shows Tumbaga as very strong total 18-20 in normal sheet rows,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0033,PO3,Crafts,Fine Clothing,,,,,,,,,18,19,Handicrafts,18,19,18.5,Handicrafts 18-19,yes,low,Handicrafts: Fandom table marks 18? / 19?; exact skill column unclear in text extract,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0034,PO3,Crafts,Jewellery,,,,,,,,,18,19,Handicrafts,18,19,18.5,Handicrafts 18-19,yes,low,Handicrafts: Fandom table marks 18? / 19?; exact skill column unclear in text extract,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0021,PO4,Metal,Gold Dust,,,,,7,8,,,8,8,Handicrafts,8,8,8.0,Casting 7-8; Handicrafts 8-8,no,medium,Casting: Metal goods; text extract shows 7-8 and 8-8 contributions | Handicrafts: Metal goods; text extract shows 7-8 and 8-8 contributions,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
