Name,Aliases,MainRegion,SubRegion,SeaTradeRegion,MapPixelX,MapPixelY,WorldX,WorldY,CoordinateConfidence,CoordinateNotes
Nassau,,Americas,Caribbean,Caribbean Sea,,,,,,
Natal,,Americas,Brazil Atlantic,Brazil Atlantic,,,,,,
Nicosia,,Europe,Aegean / Eastern Mediterranean,Eastern Mediterranean,350,858,1400,3432,low,Cyprus area is hard to separate
Odessa,,Europe,Black Sea,Black Sea,328,684,1312,2736,medium,visually checked Black Sea
Okhotsk,,Arctic / Siberia,Russian Far East,Sea of Okhotsk,,,,,,
Oslo,,Europe,Scandinavia,North Sea / Baltic,116,502,464,2008,medium,visually checked Norway
Palembang,,Southeast Asia,Indonesia / Spice Islands,Java Sea / Spice Islands,,,,,,
Palma,,Europe,Iberia Mediterranean,Western Mediterranean,50,724,200,2896,medium,visually checked Balearic Islands
Panama,,Americas,Central America,Caribbean / Central America,,,,,,
Paris,,Europe,France Atlantic,Bay of Biscay / Channel,4032,650,16128,2600,low,label/dot area is dense
Pattani,,Southeast Asia,Mainland Southeast Asia,Indochina / Gulf of Thailand,,,,,,
Pegu,,Southeast Asia,Mainland Southeast Asia,Indochina / Gulf of Thailand,,,,,,
Pernambuco,,Americas,Brazil Atlantic,Brazil Atlantic,,,,,,
Pinjarra,,Oceania,Australia West,Australia Coastal Trade,,,,,,
Pisa,,Europe,Italian Peninsula / Islands,Central Mediterranean,100,730,400,2920,medium,visually checked Italy
Plymouth,,Europe,British Isles,North Sea / English Channel,4014,646,16056,2584,medium,visually checked southwest England
Pohang,,East Asia,Korea,Korea Strait / Yellow Sea,,,,,,
Pondicherry,,South Asia,East India / Bengal,Bay of Bengal,,,,,,
Port Pirie,,Oceania,Australia South,Australia Coastal Trade,,,,,,
Port Royal,,Americas,Caribbean,Caribbean Sea,,,,,,
Porto,,Europe,Iberia Atlantic,Iberian Atlantic,3940,768,15760,3072,medium,visually checked north Portugal
Porto Velho,,Americas,Amazon / Guianas,Amazon / Guianas,,,,,,
Portobelo,,Americas,Central America,Caribbean / Central America,,,,,,
Portsmouth,,Europe,British Isles,North Sea / English Channel,4066,646,16264,2584,medium,visually checked south England
Quanzhou,,East Asia,China Coast,South China Sea / East China Sea,,,,,,
Quelimane,,Africa,East Africa / Swahili Coast,Western Indian Ocean,,,,,,
Ragusa,,Europe,Adriatic,Adriatic Sea,224,746,896,2984,medium,visually checked Adriatic
Riga,,Europe,Baltic,Baltic Sea,202,532,808,2128,medium,visually checked Baltic
Rio de Janeiro,,Americas,Brazil Atlantic,Brazil Atlantic,,,,,,
Rome,,Europe,Italian Peninsula / Islands,Central Mediterranean,136,758,544,3032,medium,visually checked Italy
Run,,Southeast Asia,Indonesia / Spice Islands,Java Sea / Spice Islands,,,,,,
Saint Petersburg,,Europe,Baltic,Baltic Sea,310,484,1240,1936,medium,visually checked Baltic / Russia
Saint-Georges,,Americas,Amazon / Guianas,Amazon / Guianas,,,,,,
Sakai,,East Asia,Japan,Japan Sea / East China Sea,,,,,,
Salonika,,Europe,Aegean / Eastern Mediterranean,Eastern Mediterranean,254,798,1016,3192,medium,visually checked north Greece
Samarai,,Oceania,Pacific Islands,Pacific Islands,,,,,,
San Antonio,,Americas,Chile Pacific,Pacific South America,,,,,,
San Juan,,Americas,Caribbean,Caribbean Sea,,,,,,
Santiago,,Americas,Chile Pacific,Pacific South America,,,,,,
Santo Domingo,,Americas,Caribbean,Caribbean Sea,,,,,,
Sao Tome,,Africa,Gulf of Guinea,Gulf of Guinea,,,,,,
Sassari,,Europe,Italian Peninsula / Islands,Central Mediterranean,76,754,304,3016,medium,visually checked Sardinia
Saylac,,Africa,Horn of Africa / Red Sea,Red Sea / Gulf of Aden,,,,,,
Sevastopol,,Europe,Black Sea,Black Sea,374,688,1496,2752,medium,visually checked Black Sea
Seville,,Europe,Iberia Atlantic,Iberian Atlantic,3994,814,15976,3256,medium,visually checked south Spain
Sierra Leone,,Africa,West Africa Atlantic,West Africa Atlantic,,,,,,
Socotra,,Middle East,Gulf of Aden,Arabian Sea / Gulf of Aden,,,,,,
Sofala,,Africa,East Africa / Swahili Coast,Western Indian Ocean,,,,,,
Stockholm,,Europe,Scandinavia,North Sea / Baltic,166,484,664,1936,medium,visually checked Sweden
Suez,,Middle East,Red Sea / Hejaz,Red Sea,368,936,1472,3744,low,dense Egypt/Suez area
Surabaya,,Southeast Asia,Indonesia / Spice Islands,Java Sea / Spice Islands,,,,,,
Syracuse,,Europe,Italian Peninsula / Islands,Central Mediterranean,178,828,712,3312,medium,visually checked Sicily
Tamatave,,Africa,East Africa / Swahili Coast,Western Indian Ocean,,,,,,
Tamsui,,East Asia,Taiwan,Taiwan Strait,,,,,,
Tenochtitlan,,Americas,Mexico / Gulf Coast,Gulf of Mexico,,,,,,
Ternate,,Southeast Asia,Indonesia / Spice Islands,Java Sea / Spice Islands,,,,,,
Tiksi,,Arctic / Siberia,Russian Arctic,Arctic Sea Route,,,,,,
Toamasina,,Africa,East Africa / Swahili Coast,Western Indian Ocean,,,,,,
Trabzon,,Europe,Black Sea,Black Sea,438,762,1752,3048,medium,visually checked Black Sea east
Trieste,,Europe,Adriatic,Adriatic Sea,166,696,664,2784,medium,visually checked Adriatic north
Tripoli,,Africa,Maghreb,Western Mediterranean / North Africa,122,854,488,3416,medium,visually checked Libya coast
Trujillo,,Americas,Peru / Ecuador Pacific,Pacific South America,,,,,,
Tumbes,,Americas,Peru / Ecuador Pacific,Pacific South America,,,,,,
Tunis,,Africa,Maghreb,Western Mediterranean / North Africa,78,822,312,3288,medium,visually checked Tunisia coast
Valencia,,Europe,Iberia Mediterranean,Western Mediterranean,4050,786,16200,3144,medium,visually checked east Spain
Valparaiso,,Americas,Chile Pacific,Pacific South America,,,,,,
Venice,,Europe,Adriatic,Adriatic Sea,133,699,532,2796,high,user confirmed anchor
Veracruz,,Americas,Mexico / Gulf Coast,Gulf of Mexico,,,,,,
Visakhapatnam,,South Asia,West India / Malabar,Arabian Sea / West India,,,,,,
Visby,,Europe,Scandinavia,North Sea / Baltic,180,526,720,2104,medium,visually checked Baltic island
Whanganui,,Oceania,New Zealand,Tasman Sea / New Zealand,,,,,,
Willemstad,,Americas,Caribbean,Caribbean Sea,,,,,,
Yanbu,,Middle East,Red Sea / Hejaz,Red Sea,,,,,,
Yuldo,,East Asia,Korea,Korea Strait / Yellow Sea,,,,,,
Yuntaisha,,East Asia,China Coast,South China Sea / East China Sea,,,,,,
Zadar,,Europe,Adriatic,Adriatic Sea,180,718,720,2872,medium,visually checked Adriatic
Zanzibar,,Africa,East Africa / Swahili Coast,Western Indian Ocean,,,,,,
